date,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa),code,
7_7,14.851873065015479,26.275882352941178,6.885495356037152,9.069891640866873,0.4809907120743035,65.11017027863777,-0.3927244582043342,5.506501547987616,293.70981424148613,81.08871517027865,98414.98526315788,210000,
7_8,13.06702786377709,21.883188854489166,7.292879256965942,9.733235294117648,0.4708978328173375,59.46024767801858,-1.7421052631578948,6.840433436532508,292.1897678018575,86.67938080495358,98416.48879256965,210000,
7_9,17.711331269349845,27.272368421052636,6.782910216718267,9.400696594427245,0.4646904024767801,65.78354489164087,-1.4447523219814242,5.485773993808049,293.6304334365324,82.68232198142415,98786.67719814241,210000,
7_10,17.084256965944274,28.019860681114558,6.396888544891641,11.410990712074302,0.4860835913312693,70.42648606811144,-3.5341331269349836,0.35089783281733744,294.66772445820436,79.3858359133127,98647.2543498452,210000,
7_11,17.083684210526318,27.64150154798762,6.8910526315789475,12.03588235294118,0.5213467492260062,56.208653250774006,-0.2610216718266254,4.405154798761612,295.1082198142415,85.0637770897833,98463.56674922603,210000,
7_12,15.490232198142412,28.4153560371517,7.062414860681115,9.863452012383899,0.4769504643962848,48.522523219814246,2.272910216718266,7.578173374613003,297.271439628483,86.56743034055728,98123.94862229102,210000,
7_13,16.666145510835914,28.292678018575856,7.869442724458204,9.870386996904028,0.3853560371517029,48.541424148606815,1.9188235294117653,6.794427244582044,297.9146284829721,86.16739938080498,98080.32619195046,210000,
7_14,15.599520123839007,25.225650154798764,7.229349845201238,10.074953560371515,0.4619349845201238,62.506888544891645,1.3482352941176474,5.405108359133127,297.64,87.70911764705883,97996.2444736842,210000,
7_15,23.848854489164086,38.81504643962849,7.580030959752322,11.19551083591331,0.5548142414860682,65.3284055727554,0.09162538699690397,5.555990712074303,297.75196594427246,89.86202786377709,98151.1788235294,210000,
7_16,20.196795665634674,32.52640866873065,6.891160990712073,8.40051083591331,0.39459752321981434,63.579241486068106,-0.06721362229102162,7.741888544891642,298.16828173374614,85.98065015479877,98172.90787925696,210000,
7_17,16.93549535603715,27.176145510835912,7.078544891640867,7.959705882352941,0.3298761609907121,56.17883900928792,0.13414860681114543,7.353065015479876,297.940479876161,83.70201238390092,98216.83328173374,210000,
7_18,18.289411764705882,29.99304953560372,7.265092879256966,9.006346749226008,0.37246130030959756,56.93961300309597,0.2387461300309598,7.759891640866871,297.74187306501545,87.35770897832818,98179.59874613004,210000,
7_19,19.46236842105263,32.4884520123839,7.822383900928791,8.738777089783282,0.38701238390092885,67.92382352941178,1.5340247678018577,7.1247058823529406,298.9798761609907,81.54433436532507,98242.13275541796,210000,
7_20,20.479071207430344,32.341362229102174,7.496749226006193,8.857105263157896,0.36312693498452014,63.05057275541797,0.48795665634674934,6.949458204334365,297.5747987616099,83.96145510835915,98165.46752321982,210000,
7_21,25.052074303405576,37.0438080495356,8.114287925696594,9.088885448916407,0.38659442724458204,73.67462848297212,0.6705727554179569,6.71422600619195,297.8458513931888,81.76120743034053,98122.60993808048,210000,
7_22,34.2170278637771,47.64517027863778,9.09814241486068,10.201919504643962,0.46424148606811144,91.59264705882353,1.7812538699690406,4.731068111455109,299.0392569659443,75.71835913312694,98191.54660990712,210000,
7_23,31.66565015479876,44.915758513931884,7.905603715170278,10.263653250773991,0.48227554179566573,76.16987616099071,0.6398142414860679,3.746486068111455,299.7779566563468,71.0873374613003,98262.81883900927,210000,
7_24,16.40986068111455,27.374024767801856,6.198777089783282,7.523931888544892,0.3757120743034056,48.69678018575851,-2.295046439628483,5.613498452012385,299.3967182662539,77.62510835913312,98007.84156346749,210000,
7_25,17.63798761609907,28.24340557275542,7.173126934984522,7.211826625386998,0.4172291021671828,60.23671826625387,0.9508823529411766,4.374767801857585,299.6627399380805,79.27133126934984,97762.97911764705,210000,
7_26,18.6393653250774,30.30354489164086,6.846253869969041,9.446393188854488,0.4886222910216719,56.32735294117646,-1.4842414860681115,-1.041331269349845,298.6108204334366,85.4669504643963,98101.003374613,210000,
7_27,24.691145510835913,39.76179566563467,7.820897832817336,11.389643962848298,0.5643653250773994,71.12236842105264,-1.405448916408669,-1.7602476780185758,299.27444272445825,78.19021671826626,98257.14416408667,210000,
7_28,30.692693498452016,46.44883900928794,7.232492260061918,13.0884520123839,0.6089009287925696,86.91568111455108,-0.6587461300309598,-1.1968111455108361,300.18981424148603,72.12620743034056,98206.7025386997,210000,
7_29,37.20934984520123,57.09106811145512,7.505727554179567,14.25018575851393,0.6563931888544892,93.01798761609906,0.20094427244582042,1.0675696594427244,301.44100619195046,70.2603560371517,98058.90595975233,210000,
7_30,40.14201238390093,61.90705882352942,8.230015479876162,13.731269349845201,0.746486068111455,98.28356037151703,0.9229256965944274,2.0162074303405575,301.9608359133127,69.31710526315788,98063.67383900928,210000,
7_31,39.74128482972136,61.583916408668735,7.787894736842104,12.750541795665633,0.8425386996904024,92.35139318885449,1.2095046439628483,0.15455108359133124,302.37517027863777,68.34106811145512,98067.22354489163,210000,
8_1,19.669767801857585,33.02871517027864,6.648343653250774,11.533343653250775,0.5268575851393189,89.81995356037153,-2.3143653250773992,-3.7459442724458207,301.77320433436535,57.50425696594427,98176.03659442725,210000,
8_2,19.215139318885452,36.7490866873065,8.480804953560371,14.835325077399382,0.5443962848297214,103.83137770897832,-1.9159133126934986,0.08171826625386984,301.72630030959743,55.64928792569659,98152.05411764706,210000,
8_3,32.273095975232195,58.58964396284829,9.34766253869969,14.362569659442725,0.7866099071207431,116.72523219814244,1.3843498452012384,4.361145510835913,302.4879411764705,65.23227554179566,98038.62916408668,210000,
8_4,29.192043343653253,48.093529411764706,8.191671826625386,7.422476780185758,0.6344736842105262,102.38916408668732,2.4584829721362227,4.668591331269349,301.71329721362224,70.91504643962848,97985.54588235293,210000,
